symbol,interval,open,high,low,close,adjusted_close,volume
HSPX.LSE,d,828.0,830.0,828.0,829.0,672.535,62940
HSPX.LSE,d,832.5,832.5,821.5,821.5,666.4506,42471
HSPX.LSE,d,824.0,824.0,819.75,819.75,665.0309,6142
HSPX.LSE,d,825.5,827.0,824.75,824.75,669.0872,157663
HSPX.LSE,d,819.25,819.5,819.0,819.25,670.0072,4276
HSPX.LSE,d,817.0,817.25,811.0,811.0,663.2601,97604
HSPX.LSE,d,811.25,812.0,808.75,811.5,663.669,95051
HSPX.LSE,d,812.75,812.75,809.25,810.75,663.0557,40381
HSPX.LSE,d,810.25,810.25,807.75,809.25,661.8289,225145
HSPX.LSE,d,811.25,811.25,805.25,805.25,658.5576,49837
HSPX.LSE,d,804.0,804.0,803.0,803.0,656.7175,4478
HSPX.LSE,d,805.75,807.5,804.5,804.5,657.9442,72410
HSPX.LSE,d,806.25,806.5,806.25,806.5,659.5799,3548
HSPX.LSE,d,813.0,818.0,813.0,813.25,665.1002,69701
HSPX.LSE,d,819.5,819.5,816.75,816.75,667.9626,31525
HSPX.LSE,d,815.0,815.75,814.25,814.75,666.327,150035
HSPX.LSE,d,816.5,819.0,812.0,812.0,664.078,107972
HSPX.LSE,d,808.25,808.25,800.25,800.5,654.6729,601870
HSPX.LSE,d,804.0,808.25,802.0,808.25,661.0111,333584
HSPX.LSE,d,808.0,808.0,808.0,808.0,660.8066,101138
HSPX.LSE,d,804.75,806.75,803.75,806.75,659.7843,184700
HSPX.LSE,d,813.75,813.75,813.25,813.25,665.1002,100674
HSPX.LSE,d,818.25,821.25,818.25,821.25,671.6429,3329
HSPX.LSE,d,824.75,824.75,822.0,822.0,672.2563,2460
HSPX.LSE,d,822.5,822.5,821.25,821.25,671.6429,4000
HSPX.LSE,d,824.5,824.5,820.5,820.5,671.0295,218734
HSPX.LSE,d,821.0,830.5,821.0,830.0,678.7989,131593
HSPX.LSE,d,831.75,833.0,830.25,831.875,680.3323,183785
HSPX.LSE,d,828.75,828.75,824.75,824.75,674.5053,100000
HSPX.LSE,d,828.25,835.75,828.0,833.25,681.4568,101350
HSPX.LSE,d,827.5,832.25,827.5,829.375,678.2878,38123
HSPX.LSE,d,829.0,829.25,827.75,829.25,678.1855,277600
HSPX.LSE,d,829.5,829.5,822.125,822.125,672.3585,13450
HSPX.LSE,d,820.25,827.25,820.25,825.125,674.812,57910
HSPX.LSE,d,815.0,816.0,809.0,810.625,662.9534,156023
HSPX.LSE,d,805.75,813.625,805.75,813.625,665.4069,20151
HSPX.LSE,d,817.5,824.0,817.5,820.125,670.7228,93020
HSPX.LSE,d,819.75,819.75,815.5,817.625,668.6782,27887
HSPX.LSE,d,820.5,821.25,811.5,811.625,663.7713,61328
HSPX.LSE,d,803.0,806.25,801.25,804.25,657.7398,237090
HSPX.LSE,d,806.75,818.0,806.5,818.0,668.9849,157527
HSPX.LSE,d,822.0,822.5,816.0,816.125,667.4515,73805
HSPX.LSE,d,815.25,817.25,811.75,811.75,663.8735,15310
HSPX.LSE,d,813.75,821.25,813.75,821.25,671.6429,14470
HSPX.LSE,d,816.75,820.0,814.75,814.875,666.4292,75594
HSPX.LSE,d,812.25,815.75,810.0,812.875,664.7936,61792
HSPX.LSE,d,805.5,811.375,805.5,811.375,663.5668,203801
HSPX.LSE,d,809.5,809.5,799.125,799.125,653.5484,131532
HSPX.LSE,d,796.25,798.875,787.5,798.875,653.3439,321597
HSPX.LSE,d,799.5,800.0,793.0,793.875,649.2548,205596
HSPX.LSE,d,791.25,796.75,787.25,792.625,648.2325,206222
HSPX.LSE,d,799.75,800.5,794.5,794.625,649.8682,96394
HSPX.LSE,d,799.75,802.0,797.75,800.875,654.9796,152594
HSPX.LSE,d,800.75,800.75,793.5,794.0,649.357,128245
HSPX.LSE,d,793.0,798.75,793.0,798.25,652.8328,46115
HSPX.LSE,d,805.25,813.5,805.25,813.5,665.3047,202444
HSPX.LSE,d,819.0,825.25,819.0,825.25,674.9142,106176
HSPX.LSE,d,827.5,828.0,824.25,824.25,674.0964,8926
HSPX.LSE,d,822.75,826.25,820.0,826.0,675.5276,136757
HSPX.LSE,d,828.5,831.25,827.75,830.25,679.0034,74160
HSPX.LSE,d,829.25,830.5,826.75,829.75,678.5944,42371
HSPX.LSE,d,828.75,837.25,828.75,834.875,682.7858,194959
HSPX.LSE,d,828.75,831.56,828.44,830.25,679.0034,85396
HSPX.LSE,d,824.5,824.8,821.0,823.875,673.7897,120961
HSPX.LSE,d,819.0,825.12,819.0,821.375,671.7451,223300
HSPX.LSE,d,818.5,822.25,818.5,819.875,670.5184,304239
HSPX.LSE,d,819.25,819.25,817.125,817.125,668.2693,8459
HSPX.LSE,d,819.0,819.0,815.25,815.25,666.7359,6123
HSPX.LSE,d,811.75,813.45,809.0,810.375,662.749,42747
HSPX.LSE,d,812.25,815.0,811.5,811.625,663.7713,115155
HSPX.LSE,d,804.5,806.45,802.5,804.25,657.7398,6101
HSPX.LSE,d,805.25,811.5,805.25,811.5,663.669,93621
HSPX.LSE,d,813.0,813.0,801.75,803.75,657.3309,164346
HSPX.LSE,d,803.75,805.81,803.0,803.0,656.7175,75454
HSPX.LSE,d,811.5,816.69,811.38,815.25,666.7359,86028
HSPX.LSE,d,814.5,814.5,809.625,809.625,662.1356,103992
HSPX.LSE,d,814.25,821.875,814.241,821.875,672.154,30873
HSPX.LSE,d,820.75,821.0,816.25,818.375,669.2916,135325
HSPX.LSE,d,818.0,819.25,815.75,818.375,669.2916,55495
HSPX.LSE,d,824.75,829.25,823.19,825.625,675.2209,34871
HSPX.LSE,d,824.0,826.75,817.625,817.625,668.6782,121855
HSPX.LSE,d,822.75,822.75,816.75,820.375,670.9273,194914
HSPX.LSE,d,821.5,828.0,821.5,828.0,677.1632,396681
HSPX.LSE,d,824.75,827.5,823.5,826.0,675.5276,73689
HSPX.LSE,d,828.5,833.59,826.43,831.75,680.2301,77274
HSPX.LSE,d,832.25,832.5,824.75,825.25,674.9142,78574
HSPX.LSE,d,825.75,827.25,823.93,827.125,676.4476,67218
HSPX.LSE,d,837.0,837.0,832.5,832.5,680.8435,23172
HSPX.LSE,d,826.0,831.68,826.0,830.5,679.2078,11386
HSPX.LSE,d,822.5,824.75,820.5,820.5,671.0295,47142
HSPX.LSE,d,825.25,831.25,825.25,831.25,679.8212,28019
HSPX.LSE,d,834.0,837.68,832.625,832.625,680.9457,143625
HSPX.LSE,d,831.5,832.93,828.0,828.0,677.1632,3686
HSPX.LSE,d,821.5,822.94,821.5,822.625,672.7674,4376
HSPX.LSE,d,822.19,822.19,819.5,819.5,670.2117,294
HSPX.LSE,d,816.5,818.18,811.75,815.75,667.1448,60445
HSPX.LSE,d,815.75,816.96,810.2,811.875,663.9757,61828
HSPX.LSE,d,814.5,817.0,813.95,814.625,666.2248,23972
HSPX.LSE,d,820.75,820.75,817.0,819.375,670.1095,12195
HSPX.LSE,d,821.5,824.25,817.0,817.0,668.1671,132783
HSPX.LSE,d,808.813,810.374,808.2075,808.2075,660.9763,17755
HSPX.LSE,d,808.818,808.818,799.715,801.7363,655.684,50007
HSPX.LSE,d,795.003,798.158,794.853,797.9963,652.6253,43268
HSPX.LSE,d,792.698,792.775,791.1775,791.4413,647.2644,221721
HSPX.LSE,d,788.633,790.117,786.315,788.7838,645.0911,19175
HSPX.LSE,d,785.75,793.038,785.75,792.795,648.3715,684631
HSPX.LSE,d,794.255,796.27,790.0,791.1525,647.0282,103313
HSPX.LSE,d,789.683,789.683,786.495,786.9575,643.5974,43285
HSPX.LSE,d,787.155,791.805,786.03,791.5575,647.3595,36652
HSPX.LSE,d,791.115,795.32,791.115,792.0038,647.7245,24002
HSPX.LSE,d,789.235,794.735,789.235,794.735,649.9581,41001
HSPX.LSE,d,794.325,798.55,793.678,795.1638,650.3088,45736
HSPX.LSE,d,788.343,794.2375,787.528,794.2375,649.5512,54607
HSPX.LSE,d,799.168,804.345,797.4,804.345,657.8175,17787
HSPX.LSE,d,803.395,809.9075,803.395,809.9075,662.3666,36225
HSPX.LSE,d,800.753,805.57,797.338,799.5613,653.9052,34122
HSPX.LSE,d,811.278,811.278,802.78,802.92,656.6521,72702
HSPX.LSE,d,803.62,804.673,801.011,803.95,657.4944,93777
HSPX.LSE,d,810.03,812.285,808.39,812.0063,664.0831,35630
HSPX.LSE,d,820.063,822.3,819.01,819.685,670.363,117090
HSPX.LSE,d,828.0,829.68,822.962,828.0988,677.244,12955
HSPX.LSE,d,827.858,836.1,827.858,835.365,683.1866,167580
HSPX.LSE,d,835.845,839.4988,835.4,839.4988,686.5673,202769
HSPX.LSE,d,837.2,837.2,836.9838,836.9838,684.5105,1803
HSPX.LSE,d,840.233,845.065,839.603,841.8275,688.4718,49997
HSPX.LSE,d,849.215,853.235,848.54,853.01,697.6172,14369
HSPX.LSE,d,856.97,856.97,840.5688,840.5688,687.4424,99330
HSPX.LSE,d,842.08,842.84,837.73,838.7175,685.9283,3284
HSPX.LSE,d,833.453,837.01,831.403,835.5775,683.3603,22763
HSPX.LSE,d,835.678,837.84,833.9713,833.9713,682.0467,99593
HSPX.LSE,d,822.948,827.83,822.948,825.7637,675.3343,20410
HSPX.LSE,d,821.588,823.47,820.3688,820.3688,670.9222,17361
HSPX.LSE,d,822.225,822.225,817.9,818.7625,669.6085,6677
HSPX.LSE,d,821.29,824.28,821.29,823.8813,673.7948,2459
HSPX.LSE,d,831.008,831.31,822.3338,822.3338,677.8259,204653
HSPX.LSE,d,820.688,823.325,818.64,823.325,678.643,18072
HSPX.LSE,d,829.593,830.335,822.8138,822.8138,678.2216,69150
HSPX.LSE,d,817.918,823.8675,817.918,823.8675,679.0901,11341
HSPX.LSE,d,821.3,821.92,815.1363,815.1363,671.8932,1498789
HSPX.LSE,d,812.365,812.365,804.213,807.7025,665.7658,1828927
HSPX.LSE,d,800.233,805.8563,798.122,805.8563,664.244,17980
HSPX.LSE,d,795.62,797.024,785.785,790.1588,651.305,78837
HSPX.LSE,d,799.185,799.81,788.775,788.775,650.1644,121342
HSPX.LSE,d,785.992,786.25,782.74,782.74,645.1899,49923
HSPX.LSE,d,770.853,775.338,762.5138,762.5138,628.518,42313
HSPX.LSE,d,772.608,772.608,752.6763,752.6763,620.4093,82465
HSPX.LSE,d,733.36,748.928,726.12,726.12,598.5197,113968
